file,function,line,complexity,rank,type
titanic_ml/cli.py,train,28,9,B,function
titanic_ml/cli.py,_display_training_results,264,6,B,function
titanic_ml/cli.py,_display_model_summary,313,6,B,function
titanic_ml/cli.py,predict,140,4,A,function
titanic_ml/cli.py,info,237,3,A,function
titanic_ml/cli.py,evaluate,198,2,A,function
titanic_ml/pipeline/predictor.py,analyze_prediction_confidence,200,9,B,method
titanic_ml/pipeline/predictor.py,predict_batch,76,6,B,method
titanic_ml/pipeline/predictor.py,TitanicPredictor,18,4,A,class
titanic_ml/pipeline/predictor.py,predict_single,48,4,A,method
titanic_ml/pipeline/predictor.py,create_submission_file,113,4,A,method
titanic_ml/pipeline/predictor.py,ModelEvaluator,135,4,A,class
titanic_ml/pipeline/predictor.py,load_pipeline,26,3,A,method
titanic_ml/pipeline/predictor.py,evaluate_predictions,141,2,A,method
titanic_ml/pipeline/predictor.py,generate_report,240,2,A,method
titanic_ml/pipeline/predictor.py,__init__,21,1,A,method
titanic_ml/pipeline/predictor.py,__init__,138,1,A,method
titanic_ml/pipeline/predictor.py,analyze_feature_importance,179,1,A,method
titanic_ml/pipeline/pipeline.py,get_model_summary,223,8,B,method
titanic_ml/pipeline/pipeline.py,run_full_pipeline,34,6,B,method
titanic_ml/pipeline/pipeline.py,TitanicMLPipeline,21,5,A,class
titanic_ml/pipeline/pipeline.py,_save_pipeline,142,5,A,method
titanic_ml/pipeline/pipeline.py,load_trained_pipeline,175,4,A,method
titanic_ml/pipeline/pipeline.py,predict_from_file,207,3,A,method
titanic_ml/pipeline/pipeline.py,__init__,24,1,A,method
titanic_ml/pipeline/pipeline.py,_load_data,132,1,A,method
titanic_ml/core/models.py,PipelineConfig,82,3,A,class
titanic_ml/core/models.py,validate_paths,96,2,A,method
titanic_ml/core/models.py,Sex,10,1,A,class
titanic_ml/core/models.py,Embarked,17,1,A,class
titanic_ml/core/models.py,PassengerRecord,25,1,A,class
titanic_ml/core/models.py,ModelConfig,42,1,A,class
titanic_ml/core/models.py,TrainingMetrics,52,1,A,class
titanic_ml/core/models.py,PredictionResult,63,1,A,class
titanic_ml/core/models.py,DatasetInfo,72,1,A,class
titanic_ml/core/data_loader.py,get_dataset_info,101,9,B,method
titanic_ml/core/data_loader.py,load_csv,23,6,B,method
titanic_ml/core/data_loader.py,DataLoader,16,5,A,class
titanic_ml/core/data_loader.py,validate_records,77,5,A,method
titanic_ml/core/data_loader.py,_validate_titanic_schema,146,4,A,method
titanic_ml/core/data_loader.py,load_titanic_data,55,2,A,method
titanic_ml/core/data_loader.py,__init__,19,1,A,method
titanic_ml/core/data_loader.py,clear_cache,172,1,A,method
titanic_ml/core/preprocessor.py,_engineer_features,112,5,A,method
titanic_ml/core/preprocessor.py,_transform_missing_values,171,5,A,method
titanic_ml/core/preprocessor.py,_transform_categorical,204,5,A,method
titanic_ml/core/preprocessor.py,transform,42,4,A,method
titanic_ml/core/preprocessor.py,_fit_transform_missing_values,148,4,A,method
titanic_ml/core/preprocessor.py,TitanicPreprocessor,15,3,A,class
titanic_ml/core/preprocessor.py,fit_transform,26,3,A,method
titanic_ml/core/preprocessor.py,_extract_features_target,57,3,A,method
titanic_ml/core/preprocessor.py,_fit_transform_categorical,190,2,A,method
titanic_ml/core/preprocessor.py,_fit_transform_numerical,229,2,A,method
titanic_ml/core/preprocessor.py,_transform_numerical,239,2,A,method
titanic_ml/core/preprocessor.py,get_feature_importance_names,249,2,A,method
titanic_ml/core/preprocessor.py,__init__,18,1,A,method
titanic_ml/core/preprocessor.py,_fit_transform_features,72,1,A,method
titanic_ml/core/preprocessor.py,_transform_features,91,1,A,method
titanic_ml/core/trainer.py,_create_model,91,7,B,method
titanic_ml/core/trainer.py,get_feature_importance,266,6,B,method
titanic_ml/core/trainer.py,_suggest_hyperparameters,141,5,A,method
titanic_ml/core/trainer.py,ModelTrainer,43,4,A,class
titanic_ml/core/trainer.py,train,292,4,A,method
titanic_ml/core/trainer.py,train,52,3,A,method
titanic_ml/core/trainer.py,EnsembleTrainer,284,3,A,class
titanic_ml/core/trainer.py,predict_proba,322,3,A,method
titanic_ml/core/trainer.py,save_model,217,2,A,method
titanic_ml/core/trainer.py,load_model,236,2,A,method
titanic_ml/core/trainer.py,predict,252,2,A,method
titanic_ml/core/trainer.py,predict_proba,259,2,A,method
titanic_ml/core/trainer.py,__init__,46,1,A,method
titanic_ml/core/trainer.py,_optimize_hyperparameters,114,1,A,method
titanic_ml/core/trainer.py,_evaluate_model,185,1,A,method
titanic_ml/core/trainer.py,__init__,287,1,A,method
titanic_ml/core/trainer.py,predict,335,1,A,method
