tool,file,line,severity
bandit,titanic_ml/trainer.py,6,LOW
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,36,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,37,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,43,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,43,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,51,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,62,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,171,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,175,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,179,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,179,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,179,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,185,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,187,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,191,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,211,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,304,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,314,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,318,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,322,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,328,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,348,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,373,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,423,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,427,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,442,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,455,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,517,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/cli.py,519,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,50,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,50,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,97,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,98,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,136,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,136,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,154,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,154,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,180,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,180,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,198,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/data_loader.py,198,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,6,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,143,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,143,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,201,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,203,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,203,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,205,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,205,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,207,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,207,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/feature_engineer.py,209,warning
