file,function,line,complexity,rank,type
titanic_ml/feature_engineer.py,_encode_categorical_features,306,15,C,method
titanic_ml/feature_engineer.py,_fill_missing_values,246,11,C,method
titanic_ml/feature_engineer.py,_drop_original_features,391,9,B,method
titanic_ml/feature_engineer.py,TitanicFeatureEngineer,71,5,A,class
titanic_ml/feature_engineer.py,get_feature_names,489,4,A,method
titanic_ml/feature_engineer.py,_extract_title,88,2,A,method
titanic_ml/feature_engineer.py,_create_family_features,117,2,A,method
titanic_ml/feature_engineer.py,_create_cabin_features,150,2,A,method
titanic_ml/feature_engineer.py,_create_age_bands,184,2,A,method
titanic_ml/feature_engineer.py,_create_fare_bands,216,2,A,method
titanic_ml/feature_engineer.py,transform,456,2,A,method
titanic_ml/feature_engineer.py,create_feature_engineer,514,1,A,function
titanic_ml/feature_engineer.py,FeatureEngineerConfig,45,1,A,class
titanic_ml/feature_engineer.py,__init__,78,1,A,method
titanic_ml/feature_engineer.py,fit_transform,427,1,A,method
titanic_ml/data_loader.py,load_train_data,136,5,A,method
titanic_ml/data_loader.py,load_test_data,180,5,A,method
titanic_ml/data_loader.py,_optimize_dtypes,102,4,A,method
titanic_ml/data_loader.py,DataLoaderConfig,32,3,A,class
titanic_ml/data_loader.py,TitanicDataLoader,54,3,A,class
titanic_ml/data_loader.py,get_dataset_info,224,3,A,method
titanic_ml/data_loader.py,validate_data_path,47,2,A,method
titanic_ml/data_loader.py,_validate_schema,81,2,A,method
titanic_ml/data_loader.py,create_data_loader,257,1,A,function
titanic_ml/data_loader.py,__init__,61,1,A,method
titanic_ml/data_loader.py,train_file_path,72,1,A,method
titanic_ml/data_loader.py,test_file_path,77,1,A,method
titanic_ml/data_loader.py,clear_cache,250,1,A,method
titanic_ml/cli.py,predict,179,14,C,function
titanic_ml/cli.py,train,43,10,B,function
titanic_ml/cli.py,evaluate,322,9,B,function
titanic_ml/cli.py,info,431,8,B,function
titanic_ml/cli.py,setup_logging,36,2,A,function
titanic_ml/trainer.py,_create_base_model,104,6,B,method
titanic_ml/trainer.py,_get_hyperparameter_space,133,6,B,method
titanic_ml/trainer.py,TrainerConfig,40,5,A,class
titanic_ml/trainer.py,get_feature_importance,490,5,A,method
titanic_ml/trainer.py,model_post_init,59,4,A,method
titanic_ml/trainer.py,TitanicTrainer,82,4,A,class
titanic_ml/trainer.py,_prepare_features_and_target,257,4,A,method
titanic_ml/trainer.py,save_model,432,4,A,method
titanic_ml/trainer.py,train,345,3,A,method
titanic_ml/trainer.py,predict,375,3,A,method
titanic_ml/trainer.py,load_model,466,3,A,method
titanic_ml/trainer.py,predict_proba,407,2,A,method
titanic_ml/trainer.py,create_trainer,518,1,A,function
titanic_ml/trainer.py,ModelPerformance,71,1,A,class
titanic_ml/trainer.py,__init__,89,1,A,method
titanic_ml/trainer.py,_objective,189,1,A,method
titanic_ml/trainer.py,_optimize_hyperparameters,225,1,A,method
titanic_ml/trainer.py,_evaluate_model,287,1,A,method
titanic_ml/main.py,main,1,1,A,function
