tool,file,line,severity
bandit,titanic_ml/core/model.py,67,LOW
bandit,titanic_ml/main.py,52,LOW
bandit,titanic_ml/main.py,89,LOW
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/config.py,8,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/config.py,22,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/config.py,43,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/config.py,48,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,3,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,4,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,17,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,17,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,19,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,28,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,32,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,40,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/data.py,42,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,4,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,5,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,5,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,11,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,18,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,18,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,26,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,26,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,35,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,47,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,49,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,57,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,60,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,76,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,79,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,92,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/features.py,92,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,4,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,7,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,8,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,12,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,16,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,21,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,22,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,22,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,32,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,32,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,32,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,34,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,34,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,35,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,39,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,39,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,40,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,43,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,43,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,44,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo-1/titanic_ml/core/model.py,49,warning
