tool,file,line,severity
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,9,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,44,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,63,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,63,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/model.py,7,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/main.py,20,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/main.py,40,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/main.py,41,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/pipeline/prediction.py,32,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/pipeline/prediction.py,40,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/pipeline/training.py,5,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/pipeline/training.py,44,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/pipeline/training.py,46,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/pipeline/training.py,46,warning
mypy,titanic_ml/core/data.py,44,error
mypy,titanic_ml/core/features.py,30,error
mypy,titanic_ml/core/features.py,32,error
mypy,titanic_ml/core/features.py,35,error
mypy,titanic_ml/core/features.py,42,error
mypy,titanic_ml/core/features.py,44,error
mypy,titanic_ml/core/features.py,45,error
mypy,titanic_ml/core/features.py,49,error
mypy,titanic_ml/pipeline/prediction.py,29,error
mypy,titanic_ml/core/model.py,20,error
mypy,titanic_ml/pipeline/training.py,53,error
mypy,titanic_ml/pipeline/training.py,70,error
mypy,titanic_ml/pipeline/training.py,73,error
flake8_wps,titanic_ml/core/data.py,42,warning
flake8_wps,titanic_ml/core/data.py,48,warning
flake8_wps,titanic_ml/core/data.py,61,warning
flake8_wps,titanic_ml/core/features.py,69,warning
flake8_wps,titanic_ml/main.py,19,warning
flake8_wps,titanic_ml/main.py,19,warning
flake8_wps,titanic_ml/main.py,20,warning
flake8_wps,titanic_ml/main.py,21,warning
flake8_wps,titanic_ml/main.py,21,warning
flake8_wps,titanic_ml/main.py,22,warning
flake8_wps,titanic_ml/main.py,22,warning
flake8_wps,titanic_ml/main.py,40,warning
flake8_wps,titanic_ml/main.py,41,warning
flake8_wps,titanic_ml/pipeline/prediction.py,15,warning
flake8_wps,titanic_ml/pipeline/prediction.py,32,warning
flake8_wps,titanic_ml/pipeline/training.py,26,warning
flake8_wps,titanic_ml/pipeline/training.py,43,warning
flake8_wps,titanic_ml/pipeline/training.py,44,warning
flake8_wps,titanic_ml/pipeline/training.py,64,warning
vulture,titanic_ml/core/config.py,17,warning
vulture,titanic_ml/core/data.py,47,warning
