tool,file,line,severity
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/__init__.py,1,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/config.py,31,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/config.py,55,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,3,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,4,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,4,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,17,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,17,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,25,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,26,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,36,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,36,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,40,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,40,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,63,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,63,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,67,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,73,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/data.py,108,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/features.py,4,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/features.py,4,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/features.py,4,warning
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/features.py,4,error
ruff,/Users/somen/Zavodi/opensource/ml-moscow-python-demo/titanic_ml/core/features.py,4,error
